bar_ts,trade_date,nav,capital_used,capital_usage,return_rate
2025-03-26T01:00:00.000000,2025-03-26,982592.7906622194,19681.71545614288,0.02003038862403862,-0.017401294978985238
2025-03-26T01:15:00.000000,2025-03-26,982596.2032677431,19678.302850619126,0.020026846007725797,-0.017397882352920613
2025-03-26T01:30:00.000000,2025-03-26,982633.0284787907,19701.47763957162,0.0200496798586868,-0.017361056920217166
2025-03-26T01:45:00.000000,2025-03-26,982562.115873267,19637.390245095376,0.019985902089907415,-0.017431969952573345
2025-03-26T02:00:00.000000,2025-03-26,982560.409570505,19639.096547857247,0.019987673385336024,-0.01743367626560577
2025-03-26T02:15:00.000000,2025-03-26,982588.7032677431,19670.802850619126,0.020019365971948366,-0.017405382398064106
2025-03-26T02:30:00.000000,2025-03-26,982573.7032677431,19655.802850619126,0.020004405557822142,-0.017420382488351094
2025-03-26T09:15:00.000000,2025-03-26,982634.6961207913,19774.80999757102,0.020124274133243292,-0.017359389268178704
2025-03-26T09:30:00.000000,2025-03-26,982667.4339373625,19787.072180999763,0.020136082155197417,-0.017326651254554126
2025-03-26T09:45:00.000000,2025-03-26,982696.4024235532,19833.103694809146,0.020182330622047863,-0.01729768259399822
2025-03-26T10:00:00.000000,2025-03-26,982611.5213318388,19737.98478652352,0.020087271885200892,-0.01738256419662343
2025-03-26T10:15:00.000000,2025-03-26,982582.5528456481,19691.953272714138,0.020041016620623332,-0.017411532857179335
2025-03-26T10:45:00.000000,2025-03-26,982554.25914841,19660.246969952263,0.020009324459080765,-0.017439826724720997
2025-03-26T11:00:00.000000,2025-03-26,982649.6961207913,19789.80999757102,0.020139231789004064,-0.017344389177891717
2025-03-26T11:15:00.000000,2025-03-26,982597.5528456481,19706.953272714138,0.0200559763411194,-0.017396532766892236
2025-03-26T11:30:00.000000,2025-03-26,982525.6473870763,19583.858731285993,0.019932160329216044,-0.017468438658272745
2025-03-26T13:45:00.000000,2025-03-26,982544.4167174569,19565.08940090535,0.019912676788973644,-0.017449669214917085
2025-03-26T14:00:00.000000,2025-03-26,982612.5915064093,19646.91461195286,0.01999456833932166,-0.017381494015611287
