trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position
2025-07-01,2025-07-01T23:45:00.000000,AG2508.SHF,8777.0,15.0,AG2508C8800.SHF,195.0,AG2508P8800.SHF,217.5,15.0,0.0001598238578680203,0.06575342465753424,0.2249075363576412,0.22556643292307857,0.46709358551792224,-0.5328729349258706,-0.06577934940794838,0.06577934940794838
2025-07-02,2025-07-02T23:45:00.000000,AG2508.SHF,8835.0,15.0,AG2508C8800.SHF,224.5,AG2508P8800.SHF,191.5,15.0,0.00015844263959390864,0.06301369863013699,0.22924955204129213,0.22879467025399203,0.5559559421557477,-0.4440665442048842,0.11188939795086356,-0.11188939795086356
2025-07-03,2025-07-03T23:45:00.000000,AG2508.SHF,8918.0,15.0,AG2508C8800.SHF,278.0,AG2508P8800.SHF,160.0,15.0,0.00015663147208121829,0.06027397260273973,0.23336990922689432,0.235742826461792,0.625721400284928,-0.37977768394451783,0.24594371634041012,-0.24594371634041012
2025-07-04,2025-07-04T23:45:00.000000,AG2508.SHF,8941.0,15.0,AG2508C8800.SHF,282.0,AG2508P8800.SHF,144.5,15.0,0.0001547730964467005,0.057534246575342465,0.24710671648383137,0.2472028080374002,0.6424330887408295,-0.35756261875278555,0.28487046998804394,-0.28487046998804394
2025-07-05,2025-07-05T02:30:00.000000,AG2508.SHF,8931.0,15.0,AG2508C8800.SHF,277.0,AG2508P8800.SHF,144.0,15.0,0.02,0.0547945205479452,0.23975735098123546,0.24420528829097743,0.6490756319985872,-0.3508630337289387,0.2982125982696485,-0.2982125982696485
2025-07-07,2025-07-07T23:45:00.000000,AG2508.SHF,8889.0,15.0,AG2508C8800.SHF,236.5,AG2508P8800.SHF,149.5,15.0,0.00015093502538071065,0.049315068493150684,0.2402198981493711,0.25000918254256244,0.5551098858528007,-0.4444614841015367,0.11064840175126406,-0.11064840175126406
2025-07-08,2025-07-08T23:45:00.000000,AG2508.SHF,8853.0,15.0,AG2508C8800.SHF,203.0,AG2508P8800.SHF,146.0,15.0,0.00015084060913705583,0.04657534246575343,0.24071882992982857,0.24336418695747847,0.554831642604807,-0.4450557889222222,0.1097758536825848,-0.1097758536825848
2025-07-09,2025-07-09T23:45:00.000000,AG2508.SHF,8862.0,15.0,AG2508C8800.SHF,202.0,AG2508P8800.SHF,141.5,15.0,0.00015003604060913705,0.043835616438356165,0.22985338240861886,0.22465319991111757,0.5540737942249484,-0.4461408089961728,0.10793298522877559,-0.10793298522877559
2025-07-10,2025-07-10T23:45:00.000000,AG2508.SHF,8964.0,15.0,AG2508C8800.SHF,267.0,AG2508P8800.SHF,101.0,15.0,0.00015004365482233504,0.0410958904109589,0.22878248274326318,0.23090180486440653,0.6400104628974197,-0.35990938919367776,0.28010107370374193,-0.28010107370374193
2025-07-11,2025-07-11T23:45:00.000000,AG2508.SHF,9130.0,15.0,AG2508C8800.SHF,402.0,AG2508P8800.SHF,67.5,15.0,0.0001514,0.038356164383561646,0.23998402088880533,0.23712636098265646,0.7898717301829367,-0.2102087296181463,0.5796630005647904,-0.5796630005647904
2025-07-12,2025-07-12T02:30:00.000000,AG2508.SHF,9203.0,15.0,AG2508C8800.SHF,454.5,AG2508P8800.SHF,53.0,15.0,0.02,0.03561643835616438,0.2777334861457348,0.2691246259212494,0.7945160019808817,-0.20559172994950814,0.5889242720313735,-0.5889242720313735
2025-07-14,2025-07-14T23:45:00.000000,AG2508.SHF,9152.0,15.0,AG2508C8800.SHF,393.0,AG2508P8800.SHF,44.5,15.0,0.00015264285714285713,0.030136986301369864,0.2676883974671363,0.28341188758611663,0.7897880993571843,-0.20981913807148894,0.5799689612856953,-0.5799689612856953
2025-07-15,2025-07-15T23:45:00.000000,AG2508.SHF,9121.0,15.0,AG2508C8800.SHF,357.5,AG2508P8800.SHF,38.5,15.0,0.0001560142857142857,0.0273972602739726,0.255781940817833,0.2635009348392485,0.7891906858185178,-0.2106252240863066,0.5785654617322112,-0.5785654617322112
2025-07-16,2025-07-16T23:45:00.000000,AG2508.SHF,9144.0,15.0,AG2508C8800.SHF,363.5,AG2508P8800.SHF,28.0,15.0,0.00015197142857142858,0.024657534246575342,0.2430175545811653,0.24768457055091855,0.8474234093760319,-0.1524904528574008,0.6949329565186311,-0.6949329565186311
2025-07-17,2025-07-17T23:45:00.000000,AG2508.SHF,9159.0,15.0,AG2508C8800.SHF,369.0,AG2508P8800.SHF,15.5,15.0,0.0001511,0.021917808219178082,0.2161278137564659,0.24178415477275844,0.8937289385466143,-0.15073077632727974,0.7429981622193346,-0.7429981622193346
2025-07-18,2025-07-18T23:45:00.000000,AG2508.SHF,9204.0,15.0,AG2508C8800.SHF,420.0,AG2508P8800.SHF,13.5,15.0,0.0001494,0.019178082191780823,0.19614759087562558,0.2196967676281929,0.9548601035706902,-0.0707208877186514,0.8841392158520388,-0.8841392158520388
2025-07-19,2025-07-19T02:30:00.000000,AG2508.SHF,9186.0,15.0,AG2508C8800.SHF,400.0,AG2508P8800.SHF,11.0,15.0,0.02,0.01643835616438356,0.2573668509721757,0.2467691135406494,0.9201985762065541,-0.06925559543981454,0.8509429807667396,-0.8509429807667396
2025-07-21,2025-07-21T23:45:00.000000,AG2509.SHF,9369.0,15.0,AG2509C9400.SHF,271.0,AG2509P9400.SHF,431.0,15.0,0.00015354315068493148,0.0958904109589041,0.2,0.2,0.5076792984064569,-0.49232070159354463,0.01535859681291224,-0.01535859681291224
2025-07-22,2025-07-22T23:45:00.000000,AG2509.SHF,9456.0,15.0,AG2509C9400.SHF,300.0,AG2509P9400.SHF,264.0,15.0,0.00015301780821917808,0.09315068493150686,0.24671016275882718,0.35857417888939375,0.5594766144179072,-0.4338002212044696,0.1256763932134376,-0.1256763932134376
2025-07-23,2025-07-23T23:45:00.000000,AG2509.SHF,9469.0,15.0,AG2509C9400.SHF,345.0,AG2509P9400.SHF,252.0,15.0,0.00015299342465753424,0.09041095890410959,0.23550138920545577,0.25310822039842606,0.5585912544320564,-0.4403664588558774,0.11822479557617899,-0.11822479557617899
2025-07-24,2025-07-24T23:45:00.000000,AG2509.SHF,9349.0,15.0,AG2509C9400.SHF,245.5,AG2509P9400.SHF,298.0,15.0,0.00015364424657534245,0.08767123287671233,0.2725187883526087,0.2513437742739915,0.4716798216898993,-0.5295657824926072,-0.057885960802707914,0.057885960802707914
2025-07-25,2025-07-25T23:45:00.000000,AG2509.SHF,9117.0,15.0,AG2509C9400.SHF,132.0,AG2509P9400.SHF,413.0,15.0,0.00015451342465753424,0.08493150684931507,0.2434408555924892,0.24491535164415834,0.38234455138591095,-0.6175736674260646,-0.23522911604015362,0.23522911604015362
2025-07-26,2025-07-26T02:30:00.000000,AG2509.SHF,9157.0,15.0,AG2509C9400.SHF,139.5,AG2509P9400.SHF,384.5,15.0,0.02,0.0821917808219178,0.23127496212720866,0.22924166426062575,0.3908992821119914,-0.6091282747678863,-0.21822899265589496,0.21822899265589496
2025-07-28,2025-07-28T23:45:00.000000,AG2509.SHF,9190.0,15.0,AG2509C9400.SHF,125.0,AG2509P9400.SHF,345.0,15.0,0.00015616598984771572,0.07671232876712329,0.22261321522295474,0.2398046035319566,0.38057238774344404,-0.61852300079964,-0.23795061305619591,0.23795061305619591
2025-07-29,2025-07-29T23:45:00.000000,AG2509.SHF,9197.0,15.0,AG2509C9400.SHF,121.5,AG2509P9400.SHF,308.0,15.0,0.00015668578680203045,0.07397260273972603,0.20786619380116458,0.2182542674988508,0.3795984000171323,-0.6198658940462529,-0.24026749402912062,0.24026749402912062
2025-07-30,2025-07-30T23:45:00.000000,AG2509.SHF,9073.0,15.0,AG2509C9400.SHF,90.5,AG2509P9400.SHF,412.0,15.0,0.00015688324873096448,0.07123287671232877,0.2052421278506517,0.1881036855280399,0.2820559857351421,-0.775446935134015,-0.49339094939887285,0.49339094939887285
2025-07-31,2025-07-31T23:45:00.000000,AG2509.SHF,8922.0,15.0,AG2509C9400.SHF,49.5,AG2509P9400.SHF,545.5,15.0,0.00015486802030456853,0.0684931506849315,0.21897853478789323,0.21258158914744857,0.1642034306114593,-0.8360026616373235,-0.6717992310258643,0.6717992310258643
2025-08-01,2025-08-01T23:45:00.000000,AG2509.SHF,8990.0,15.0,AG2509C9400.SHF,55.0,AG2509P9400.SHF,467.5,15.0,0.00015505634517766498,0.06575342465753424,0.21575937137007709,0.24271731480956074,0.22531137688441638,-0.773653494283252,-0.5483421173988356,0.5483421173988356
2025-08-02,2025-08-02T02:30:00.000000,AG2509.SHF,8983.0,15.0,AG2509C9400.SHF,52.5,AG2509P9400.SHF,467.5,15.0,0.02,0.06301369863013699,0.20737258478999135,0.21111251965165137,0.23210501363393704,-0.767882590824219,-0.535777577190282,0.535777577190282
2025-08-04,2025-08-04T23:45:00.000000,AG2509.SHF,9061.0,15.0,AG2509C9400.SHF,61.5,AG2509P9400.SHF,403.0,15.0,0.0001529218274111675,0.057534246575342465,0.20723950073122974,0.22145704746246336,0.22446507931457282,-0.7750260542101934,-0.5505609748956206,0.5505609748956206
